Host Id,Host Since,Name,Neighbourhood ,Property Type,Room Type,Zipcode,Beds,Review Scores Rating,Review Scores Rating (bin),Price,Number of Records,Number Of Reviews
1471361,12/4/2011,True 4 Bedroom 2 Bath Luxury Stay,Brooklyn,Apartment,Entire home/apt,11206,4,60,60,300,1,1
2119276,4/11/2012,ColumbusCircle~Luxury24H DM~River V,Manhattan,Apartment,Entire home/apt,10019,1,60,60,250,1,1
2160201,4/17/2012,Luxury 1bdrm in Williamsburg- 700ft,Brooklyn,Apartment,Entire home/apt,11211,1,60,60,175,1,1
2246253,4/29/2012,1 Bedroom avail in BK 3BD w/ porch,Brooklyn,Apartment,Private room,11206,1,60,60,75,1,2
2326520,5/8/2012,charming studio apt!,Manhattan,Apartment,Entire home/apt,10128,1,60,60,130,1,3
2339049,5/10/2012,"Large, Bright NYC Room Near Trains",Brooklyn,Apartment,Private room,11206,1,60,60,65,1,1
2341031,5/10/2012,Private Room in Lower East Side Apt,Manhattan,Apartment,Private room,10002,1,60,60,80,1,1
2373784,5/14/2012,SPACIOUS 1BR NEXT TO CENTRAL PARK,Manhattan,Apartment,Entire home/apt,10024,1,60,60,180,1,6
2448006,5/23/2012,Fantastic fully furnished room,Manhattan,Apartment,Private room,10026,1,60,60,100,1,1
2566095,6/6/2012,"Modern, Airy and Bright 1 BR apt.",Brooklyn,Apartment,Entire home/apt,11205,1,60,60,135,1,2
2791775,7/1/2012,"1 Bedroom apartment, Hells Kitchen",Manhattan,Apartment,Entire home/apt,10036,1,60,60,115,1,1
3073972,7/27/2012,"Charming,Quiet 2bd in Heart of E.V.",Manhattan,Apartment,Entire home/apt,10003,2,60,60,239,1,4
3250450,8/13/2012,location Vera,Queens,Apartment,Private room,11377,1,60,60,45,1,1
3339701,8/22/2012,"Sunny room, 15 min to Manhattan",Queens,Apartment,Private room,11105,1,60,60,55,1,2
3383354,8/27/2012,1BR in nice 2BR Apt lovely Area,Manhattan,Apartment,Private room,10040,1,60,60,50,1,1
3503787,9/7/2012,1 bdrm apt in the L.E.S manhattan,Manhattan,Apartment,Entire home/apt,10002,1,60,60,150,1,2
3542562,9/11/2012,"Functional, Cute and Cozy. Sunlight",Manhattan,Apartment,Entire home/apt,10002,2,60,60,99,1,2
3641304,9/22/2012,House 10 min from Midtown Manhattan,Queens,House,Entire home/apt,11106,1,60,60,190,1,1
3882708,10/15/2012,"GREAT LOCATION, LARGE, CLEAN",Queens,Apartment,Private room,11103,1,60,60,55,1,1
3942655,10/22/2012,"Prime loc, new bldg, huge apt",Manhattan,Apartment,Private room,10003,1,60,60,75,1,1
4335997,12/5/2012,Dom's Cozy Clinton Hill Bedroom,Brooklyn,Apartment,Private room,11205,1,60,60,55,1,2
4365980,12/9/2012,1 BR Apt. Best Location in NYC!,Manhattan,Apartment,Entire home/apt,10003,2,60,60,196,1,1
4431099,12/17/2012,Healing Loft Space,Brooklyn,Apartment,Shared room,11206,1,60,60,170,1,1
4461145,12/21/2012,Great Lrg Apt next to Park/Subway,Brooklyn,Apartment,Entire home/apt,11218,1,60,60,85,1,1
4498389,12/26/2012,Brooklyn Cute Room + Private Bath!,Brooklyn,Apartment,Private room,11238,1,60,60,70,1,1
4855335,1/26/2013,Artists' Haven in Williamsburg,Brooklyn,Apartment,Private room,11206,1,60,60,100,1,1
4933152,2/1/2013,Spacious & Central in Williamsburg,Brooklyn,Apartment,Entire home/apt,11249,1,60,60,200,1,1
5050537,2/11/2013,Charming and Spacious Garden Apt,Brooklyn,Apartment,Entire home/apt,11216,1,60,60,79,1,1
5162192,2/20/2013,2-3 bedroom UWS garden triplex,Manhattan,Apartment,Entire home/apt,10025,4,60,60,450,1,2
5164854,2/20/2013,Huge one bedroom apartment in NYC,Manhattan,Apartment,Entire home/apt,10037,1,60,60,125,1,6
5168047,2/21/2013,Furnished & bright room on Broadway,Manhattan,Apartment,Private room,10025,1,60,60,90,1,2
5440142,3/12/2013,Lovely 2 bedroom 10 m Times Square,Manhattan,Apartment,Entire home/apt,10024,2,60,60,180,1,1
5467271,3/14/2013,Family friendly Bklyn sept2-oct14!,Brooklyn,Apartment,Entire home/apt,11215,1,60,60,115,1,1
5507963,3/17/2013,Quiet and green in Fort Greene,Brooklyn,Apartment,Entire home/apt,11217,2,60,60,119,1,1
5539486,3/19/2013,Room filled with light in ParkSlope,Brooklyn,Apartment,Private room,11215,1,60,60,100,1,1
5599570,3/24/2013,WOW!! Stunning Skylight Artist Loft,Manhattan,Apartment,Entire home/apt,10011,1,60,60,250,1,1
5777821,4/4/2013,Cozy Bedroom in best area of FiDi,Manhattan,Apartment,Private room,10004,1,60,60,110,1,1
5867307,4/10/2013,private 2 rooms for rent,Brooklyn,Apartment,Entire home/apt,11233,3,60,60,74,1,8
6011047,4/20/2013,Live like a new yorker(students ok),Manhattan,Apartment,Private room,10026,1,60,60,95,1,2
6076841,4/24/2013,Perfect Brooklyn Apartment,Brooklyn,Apartment,Private room,11211,1,60,60,50,1,1
6434434,5/17/2013,"Beautiful, Cozy Apartment",Queens,Apartment,Entire home/apt,11105,2,60,60,75,1,2
6634447,5/29/2013,Big room in Brooklyn apartment,Brooklyn,Apartment,Private room,11233,1,60,60,30,1,1
6716330,6/3/2013,New York City Private Room,Manhattan,Apartment,Private room,10040,1,60,60,70,1,1
6874740,6/12/2013,Room for Rent Close to All in NYC!,Manhattan,House,Private room,10031,1,60,60,50,1,3
7101220,6/25/2013,"Furnished Sublet, Manhattan, Harlem",Manhattan,Apartment,Private room,10029,1,60,60,40,1,1
7225691,7/1/2013,"2Br in the middle of LES, SoHo",Manhattan,Apartment,Entire home/apt,10002,2,60,60,250,1,2
7227924,7/1/2013,Spacious Apt 1 block from subway,Manhattan,Apartment,Private room,10031,1,60,60,55,1,1
7385641,7/9/2013,Sunny 1BR  Apt (Astoria -Woodside),Queens,Apartment,Entire home/apt,11370,1,60,60,100,1,2
7597108,7/19/2013,Room in a 2 bedroom duplex house,Queens,House,Private room,11105,1,60,60,100,1,3
7876900,8/1/2013,Sunny 2 BR in East Williamsburg,Brooklyn,Apartment,Entire home/apt,11206,2,60,60,145,1,1
7898374,8/2/2013,Perfect Bedroom in Bushwick,Brooklyn,Apartment,Private room,11206,1,60,60,75,1,1
7885740,8/2/2013,Warm Room for Cold Season,Manhattan,Apartment,Private room,10026,1,60,60,75,1,1
8177421,8/15/2013,Cozy room in central East Village,Manhattan,Apartment,Private room,10003,1,60,60,90,1,2
8212880,8/17/2013,Private room in the Heights,Manhattan,Apartment,Private room,10032,1,60,60,65,1,1
8974957,9/21/2013,Entire Midtown Apt for Superbowl,Manhattan,Apartment,Entire home/apt,10016,1,60,60,350,1,1
9053694,9/25/2013,Superprime Nolita Apartment,Manhattan,Apartment,Entire home/apt,10012,1,60,60,175,1,2
9072258,9/26/2013,Renov Hooked up Apt Near Subway ap1,Manhattan,Apartment,Entire home/apt,10030,3,60,60,140,1,2
9090551,9/27/2013,GREAT bedroom - PERFECT location,Manhattan,Apartment,Private room,10003,1,60,60,115,1,2
9130983,9/29/2013,Bubu's House 3rd Room,Queens,Bed & Breakfast,Private room,11373,1,60,60,75,1,1
9167342,10/1/2013,HUGE Apartment - Private Room in BK,Brooklyn,House,Private room,11233,1,60,60,82,1,2
9624922,10/25/2013,Manhattan Hide-Away!,Manhattan,Apartment,Private room,10001,1,60,60,85,1,4
9881214,11/8/2013,Artist Loft in Bushwick,Brooklyn,Apartment,Entire home/apt,11221,3,60,60,125,1,1
10135356,11/19/2013,Private Full Apartment,Queens,House,Entire home/apt,11418,1,60,60,75,1,1
10393799,12/2/2013,South Seaport Studio,Manhattan,Apartment,Entire home/apt,10038,2,60,60,89,1,1
10384906,12/2/2013,Room J,Brooklyn,House,Private room,11220,1,60,60,40,1,6
10384906,12/2/2013,Two beds A room,Brooklyn,House,Private room,11220,2,60,60,100,1,3
10431111,12/4/2013,Charming Greenpoint Bedroom,Brooklyn,Apartment,Private room,11222,1,60,60,70,1,1
10643026,12/15/2013,Private Bedroom in Williamsburg,Brooklyn,Apartment,Private room,11211,1,60,60,65,1,3
11136523,1/8/2014,1 bedroom in the heart of Nolita,Manhattan,Apartment,Entire home/apt,10012,1,60,60,250,1,1
11203708,1/11/2014,Spacious Bedroom in Central Harlem,Manhattan,Apartment,Private room,10037,2,60,60,55,1,1
11360902,1/16/2014,Stunning Furnished 2 Bedrooom UWS,Manhattan,Apartment,Entire home/apt,10025,2,60,60,170,1,2
11394444,1/17/2014,Gray room in Brooklyn 20min to Manh,Brooklyn,Apartment,Private room,11204,2,60,60,50,1,1
11490187,1/20/2014,NICE & COZY 1BD APT IN MIDTOWN WEST,Manhattan,Apartment,Entire home/apt,10019,1,60,60,225,1,1
11583052,1/23/2014,One bedroom off CPW,Manhattan,Apartment,Entire home/apt,10024,2,60,60,299,1,1
11636913,1/25/2014,Renewed Studio in a perfec location,Manhattan,Loft,Entire home/apt,10019,1,60,60,149,1,1
11888010,2/3/2014,Hamilton Heights Brownstone Rental3,Manhattan,Apartment,Entire home/apt,10031,2,60,60,105,1,1
12243051,2/14/2014,Funky Exposed Brick 1BR in Brooklyn,Brooklyn,Apartment,Entire home/apt,11216,1,60,60,100,1,2
12365524,2/18/2014,Rm in a 2 bdrm on restaurant row,Manhattan,Apartment,Private room,10026,1,60,60,115,1,5
12456425,2/21/2014,-3 Bedroom Apartment in New York-,Manhattan,Apartment,Entire home/apt,10018,3,60,60,200,1,4
12456425,2/21/2014,Room In The Heart Of NYC!,Manhattan,Apartment,Private room,10018,1,60,60,75,1,1
